section,key,value,source,id,command,risk_score,risk_level,decision,lifecycle_status,recommendation
executive_summary,total_runs,22,,,,,,,,
executive_summary,allowed,6,,,,,,,,
executive_summary,reviewed,5,,,,,,,,
executive_summary,blocked_or_investigate,1,,,,,,,,
executive_summary,alerts,15,,,,,,,,
executive_summary,sensitive_path_events,5,,,,,,,,
executive_summary,total_gateway_decisions,3,,,,,,,,
executive_summary,pending_approvals,0,,,,,,,,
executive_summary,critical_blocks,1,,,,,,,,
analysis_risk_levels,high,5,,,,,,,,
analysis_risk_levels,suspicious,5,,,,,,,,
analysis_risk_levels,low,12,,,,,,,,
analysis_decisions,require_confirmation,4,,,,,,,,
analysis_decisions,review,5,,,,,,,,
analysis_decisions,allow,6,,,,,,,,
analysis_decisions,allow_with_monitoring,6,,,,,,,,
analysis_decisions,block_or_investigate,1,,,,,,,,
gateway_risk_levels,critical,1,,,,,,,,
gateway_risk_levels,high,1,,,,,,,,
gateway_risk_levels,low,1,,,,,,,,
gateway_security_decisions,block_critical,1,,,,,,,,
gateway_security_decisions,require_confirmation,1,,,,,,,,
gateway_security_decisions,allow_with_monitoring,1,,,,,,,,
highest_risk_items,,,gateway_decision,83af358f-f484-4bc0-ba18-b4ca231011bd,rm -rf /etc,100,critical,block_critical,denied,
highest_risk_items,,,analysis_run,b9192f1b-d29f-44f4-a09d-dcd05e183936,rm -rf /tmp/final-demo-blocked-test,70,high,require_confirmation,,
highest_risk_items,,,analysis_run,4cb60b0a-42d7-4d3d-b51a-87f6863f2015,rm -rf /tmp/final-demo-blocked-test,70,high,require_confirmation,,
highest_risk_items,,,analysis_run,ffa449b8-e281-4dd0-83ac-c791209d53f5,rm -rf /tmp/final-demo-blocked-test,70,high,require_confirmation,,
highest_risk_items,,,analysis_run,58993717-0c2f-4e74-a80c-b93d71a383ac,rm -rf /tmp/final-demo-blocked-test,70,high,require_confirmation,,
highest_risk_items,,,analysis_run,c61f559b-4df7-4ebe-9272-dd95c8e4c8c5,rm -rf /tmp/real-danger-demo,70,high,block_or_investigate,,
highest_risk_items,,,gateway_decision,6f985da7-ff0a-4afb-a844-bee9d2488a00,rm -rf ./cache,70,high,require_confirmation,rejected,
highest_risk_items,,,gateway_decision,7d38fe6c-4b56-4ecb-8f9f-b1798bc8a6e8,rm -rf data/workspaces/default/cache,25,low,allow_with_monitoring,approved_for_execution,
recommendations,1,,,,,,,,,Keep critical command blocking enabled for system and sensitive filesystem paths.
recommendations,2,,,,,,,,,Preserve alerts and audit records as evidence for the project defense.
recommendations,3,,,,,,,,,Highlight sensitive path detection in the live demonstration.
recommendations,4,,,,,,,,,Use monitored workspace execution as the safe path for controlled destructive commands.
